time;V(supply);I(Phase_of_motor)
0.065723;317.634600;10.072940
0.066113;306.263700;12.076930
0.066504;290.286300;13.899280
0.066895;269.942700;15.512570
0.067285;245.538900;16.892540
0.067676;217.442000;18.018420
0.068066;186.074500;18.873300
0.068457;151.908300;19.444300
0.068848;115.457300;19.722840
0.069238;77.269700;19.704730
0.069629;37.919870;19.390240
0.070020;-2.000299;18.784110
0.070410;-41.890380;17.895440
0.070801;-81.150400;16.737620
0.071191;-119.189800;15.328040
0.071582;-155.436600;13.687910
0.071973;-189.345400;11.841910
0.072363;-220.406200;9.817789
0.072754;-248.152000;7.646002
0.073145;-272.165300;5.359213
0.073535;-292.085000;2.991816
0.073926;-307.611500;0.579419
0.074316;-318.511200;-1.841693
0.074707;-324.620200;-4.235104
0.075098;-325.846600;-6.564815
0.075488;-322.172000;-8.795785
0.075879;-313.651600;-10.894460
0.076270;-300.413600;-12.829270
0.076660;-282.657100;-14.571120
0.077051;-260.649100;-16.093800
0.077441;-234.720800;-17.374420
0.077832;-205.262100;-18.393710
0.078223;-172.716000;-19.136340
0.078613;-137.572100;-19.591140
0.079004;-100.359000;-19.751280
0.079395;-61.636380;-19.614330
0.079785;-21.986720;-19.182370
0.080176;17.993650;-18.461890
0.080566;57.703380;-17.463720
0.080957;96.545190;-16.202890
0.081348;133.934900;-14.698340
0.081738;169.310100;-12.972720
0.082129;202.138700;-11.051980
0.082520;231.926900;-8.965009
0.082910;258.226700;-6.743193
0.083301;280.642600;-4.419953
0.083691;298.837400;-2.030233
0.084082;312.537300;0.390023
0.084473;321.536400;2.804414
0.084863;325.699300;5.176623
0.085254;324.963400;7.470971
0.085645;319.339800;9.652948
0.086035;308.912900;11.689740
0.086426;293.839700;13.550700
0.086816;274.346900;15.207850
0.087207;250.727700;16.636260
0.087598;223.337300;17.814440
0.087988;192.587700;18.724680
0.088379;158.941300;19.353280
0.088770;122.904400;19.690790
0.089160;85.018880;19.732130
0.089551;45.854590;19.476680
0.089941;6.000594;18.928290
0.090332;-33.943650;18.095200
0.090723;-73.377360;16.989930
0.091113;-111.707400;15.629130
0.091504;-148.357300;14.033240
0.091895;-182.775700;12.226290
0.092285;-214.445000;10.235430
0.092676;-242.888800;8.090632
0.093066;-267.679400;5.824140
0.093457;-288.443800;3.470047
0.093848;-304.869800;1.063761
0.094238;-316.710300;-1.358525
0.094629;-323.787100;-3.760377
0.095020;-325.993900;-6.105669
0.095410;-323.297400;-8.359127
0.095801;-315.738200;-10.486860
0.096191;-303.430000;-12.456850
0.096582;-286.558000;-14.239490
0.096973;-265.375900;-15.807950
0.097363;-240.202200;-17.138640
0.097754;-211.415700;-18.211550
0.098145;-179.449300;-19.010540
0.098535;-144.783800;-19.523600
0.098926;-107.940700;-19.743000
0.099316;-69.473960;-19.665450
0.099707;-29.962320;-19.292120
0.099902;-9.999986;-19.005020
0.100000;0.000000;-18.838900
